ET,N,adaptive,alpha,avg_accept,avg_samples,avg_stop,beta,false_discoveries,fdp,min_AB,n_discoveries,n_tests,nrep,power,prior,s,step,steps,target,test,timestamp,true_discoveries,true_effects,type_one_error
5000,2000,,0.05,611.6835123425094,1007.8307463730117,1285.2907615076192,0.05,10584,0.04491425807026552,200,235649,572100,100,0.7024500624219725,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.25,,,H/AB,bayesian,1525044410.0,225065,320400,0.04205005959475566
5000,5000,0.0,0.05,1288.7194757832328,840.3249798986192,752.4144530253678,0.1,5229,0.05575934654183284,200,93778,572100,100,0.5665323096609085,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,1.0,H/AB,bayesian,1525215230.0,88549,156300,0.012575757575757575
5000,5000,0.0,0.05,0.0,1.0,1.0,0.05,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,1.0,H/AB,bayesian,1525215229.0,0,5900,0.0
5000,2000,,0.05,2000.0,2000.0,2000.0,,206,0.013342833085044368,200,15439,286050,50,0.3307926167209555,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,fixed,,15233,46050,0.0008583333333333333
5000,1000,,0.05,622.6467374497474,993.6012864883761,1000.0,0.2,507,0.05226265333470776,200,9701,572100,100,0.1813412228796844,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,,H/AB,fixed-early,1525056872.0,9194,50700,0.0009723820483314154
2000,5000,,0.05,835.1814814814815,26.336864184583114,18.62950414681489,0.2,59,0.05462962962962963,200,1080,114420,20,0.05542888165038002,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,heuristic,1525043379.0,1021,18420,0.0006145833333333333
5000,500,,0.05,441.0,499.9984530676455,500.0,0.2,0,0.0,200,3,114420,20,0.004411764705882353,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed-early,1525044490.0,3,680,0.0
5000,2000,,0.05,2000.0,2000.0,2000.0,0.2,774,0.012591098386257158,200,61472,572100,100,0.38834293026231603,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,fixed,1525044647.0,60698,156300,0.0018614718614718615
5000,500,,0.05,436.07142857142856,499.9984355881839,500.0,0.2,0,0.0,200,14,572100,100,0.00411764705882353,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed-early,1525047876.0,14,3400,0.0
5000,1000,,0.05,654.5293668954996,997.6250026219193,1000.0,0.2,173,0.043986778540554286,200,3933,572100,100,0.14029850746268657,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,,H/AB,fixed-early,1525056872.0,3760,26800,0.00031725655602420685
5000,5000,0.0,0.05,0.0,1.0,1.0,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,,1.0,H/AB,bayesian,1525214081.0,0,1600,0.0
5000,200,,0.05,0.0,200.0,200.0,0.2,0,0.0,200,0,114420,20,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,1525043352.0,0,680,0.0
5000,2000,,0.05,1328.2247949831162,851.019646914875,849.2842093444697,0.2,1,0.000482392667631452,200,2073,572100,100,0.0773134328358209,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,,H/AB,msprt,1525046295.0,2072,26800,1.8338529249954154e-06
5000,5000,0.0,0.05,1510.7781521316574,838.4549414438035,768.353494916818,0.05,3199,0.059219904107813914,200,54019,572100,100,0.5517915309446254,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,1.0,H/AB,bayesian,1525214082.0,50820,92100,0.006664583333333333
5000,4000,,0.05,2424.3410852713178,881.8868729243139,876.6521620934291,0.2,2,0.0010335917312661498,200,1935,572100,100,0.13807142857142857,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,msprt,1525050062.0,1933,14000,3.5835871707579286e-06
5000,2000,,0.05,2000.0,2000.0,2000.0,0.2,0,0.0,200,1,114420,20,0.008333333333333333,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,,,H/AB,fixed,1525043432.0,1,120,0.0
5000,5000,0.0,0.05,0.0,1.0,1.0,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,1.0,H/AB,bayesian,1525214082.0,0,14000,0.0
5000,2000,,0.05,2000.0,2000.0,2000.0,0.2,407,0.013193296379137086,200,30849,572100,100,0.33053203040173723,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,fixed,1525044648.0,30442,92100,0.0008479166666666666
5000,200,,0.05,0.0,200.0,200.0,0.2,0,0.0,200,0,114420,20,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,fixed-early,1525043780.0,0,2800,0.0
5000,500,,0.05,500.0,500.0,500.0,0.2,1556,0.01705074679202691,200,91257,572100,100,0.27996566791510613,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.25,,,H/AB,fixed,1525044394.0,89701,320400,0.006181962653953119
5000,5000,0.0,0.05,990.3357746478873,11.728844607586087,8.683164862140007,0.2,86,0.048450704225352116,200,1775,572100,100,0.018338762214983713,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,1.0,H/AB,bayesian,1525215230.0,1689,92100,0.00017916666666666667
5000,200,,0.05,169.0,199.9997290683447,200.0,0.2,0,0.0,200,1,114420,20,0.000847457627118644,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,,H/AB,fixed-early,1525043780.0,1,1180,0.0
5000,1000,,0.05,614.2131505141789,894.8031637825555,913.2542227007774,0.2,114,0.003229553245134423,200,35299,572100,100,0.14965971926839644,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.26,,,H/AB,msprt,1525044298.0,35185,235100,0.00033827893175074184
5000,2000,,0.05,1238.763940520446,1063.1733962593953,1061.5064758610954,0.2,1,0.0009293680297397769,200,1076,114420,20,0.10601577909270217,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,,H/AB,msprt,1525043898.0,1075,10140,9.589566551591868e-06
5000,5000,,0.05,435.8261304021984,11.596304841810872,8.607040699035553,0.2,203,0.05071196602548089,200,4003,572100,100,0.02431222008957134,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,optimal,1525044308.0,3800,156300,0.00048821548821548823
5000,5000,,0.05,2160.4347826086955,7.311868554448523,6.878974098971127,0.2,0,0.0,200,23,114420,20,0.033823529411764704,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,optimal,1525043503.0,23,680,0.0
5000,5000,0.0,0.05,0.0,1.0,1.0,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,1.0,H/AB,bayesian,1525215230.0,0,3400,0.0
5000,1000,,0.05,614.1331622469347,895.193672434889,913.5479395936912,0.2,17,0.002423723980610208,200,7014,114420,20,0.1488090174393875,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.26,,,H/AB,msprt,1525043482.0,6997,47020,0.00025222551928783383
5000,1000,,0.05,1000.0,1000.0,1000.0,,94,0.024848004229447527,200,3783,286050,50,0.14552268244575936,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,,H/AB,fixed,,3689,25350,0.00036056770233985425
5000,1000,,0.05,1000.0,1000.0,1000.0,0.2,3,0.011494252873563218,200,261,114420,20,0.09214285714285714,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,fixed,1525043405.0,258,2800,2.6876903780684465e-05
5000,5000,0.0,0.05,1577.123522458629,67.23530152071316,58.25109545010163,0.05,193,0.05703309692671395,200,3384,572100,100,0.11906716417910448,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,1.0,H/AB,bayesian,1525214082.0,3191,26800,0.00035393361452411515
5000,500,,0.05,500.0,500.0,500.0,0.2,0,0.0,200,2,114420,20,0.0029411764705882353,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,1525043379.0,2,680,0.0
5000,200,,0.05,0.0,200.0,200.0,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,1525044261.0,0,3400,0.0
5000,5000,0.0,0.05,0.0,1.0,1.0,0.1,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,,1.0,H/AB,bayesian,1525215230.0,0,600,0.0
5000,500,,0.05,400.8984375,499.95565460583816,500.0,,2,0.015625,200,128,286050,50,0.018,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,5.0,,H/AB,fixed-early,,126,7000,7.167174341515857e-06
5000,200,,0.05,0.0,200.0,200.0,0.2,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,,H/AB,fixed,1525044261.0,0,5900,0.0
5000,200,,0.05,0.0,200.0,200.0,,0,0.0,200,0,286050,50,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,,0,1700,0.0
5000,4000,0.0,0.05,2661.25,10.529540290159064,10.492473238570021,0.01,0,0.0,200,8,572100,100,0.005,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,,10.0,H/AB,bayesian,1525214010.0,8,1600,0.0
2000,5000,,0.05,1404.7596566523605,8.457484705471071,7.888578987771632,0.2,13,0.055793991416309016,200,233,572100,100,0.03728813559322034,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,,H/AB,heuristic,1525044346.0,220,5900,2.2960084775697632e-05
2000,5000,,0.05,936.5142749812171,20.408287012760006,16.12568883706391,0.2,145,0.05447032306536439,200,2662,572100,100,0.049644970414201184,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,,H/AB,heuristic,1525044346.0,2517,50700,0.00027809742999616415
5000,2000,,0.05,1148.4656796769852,1994.470459709841,2000.0,0.2,30,0.040376850605652756,200,743,114420,20,0.2546428571428571,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,fixed-early,1525050332.0,713,2800,0.00026876903780684465
5000,1000,,0.05,1000.0,1000.0,1000.0,0.2,66,0.01872871736662883,200,3524,114420,20,0.18773072747014116,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,fixed,1525043405.0,3458,18420,0.0006875
5000,500,,0.05,500.0,500.0,500.0,0.2,0,0.0,200,7,572100,100,0.002058823529411765,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed,1525044394.0,7,3400,0.0
5000,200,,0.05,200.0,200.0,200.0,,0,0.0,200,2,286050,50,0.00028571428571428574,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,fixed,,2,7000,0.0
5000,200,,0.05,160.17165668662673,199.82560741129174,200.0,0.2,28,0.05588822355289421,200,501,114420,20,0.015131158029430582,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,fixed-early,1525043780.0,473,31260,0.0003367003367003367
5000,200,,0.05,0.0,200.0,200.0,,0,0.0,200,0,286050,50,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,5.0,,H/AB,fixed-early,,0,800,0.0
5000,200,,0.05,200.0,200.0,200.0,,46,0.036249014972419225,200,1269,286050,50,0.01564939219449776,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,fixed,,1223,78150,0.00022126022126022125
5000,4000,0.0,0.05,1490.5714285714287,10.650900192274078,10.560355903612352,0.05,1,0.02857142857142857,200,35,572100,100,0.00576271186440678,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.32,,10.0,H/AB,bayesian,1525214010.0,34,5900,1.7661603673613564e-06
5000,4000,0.0,0.05,1470.9390095255294,429.2212550253452,387.26265526439727,0.05,1196,0.053993047717935984,200,22151,572100,100,0.4133136094674556,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.29,,10.0,H/AB,bayesian,1525214010.0,20955,50700,0.002293824319140775
5000,1000,,0.05,0.0,318.2528404125153,318.2528404125153,0.2,0,0.0,200,0,114420,20,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,msprt,1525043482.0,0,680,0.0
5000,2000,,0.05,2000.0,2000.0,2000.0,,50,0.015427337241592102,200,3241,286050,50,0.23813432835820897,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,,H/AB,fixed,,3191,13400,0.00018338529249954154
